station_id,date,t_min,t_max,t_mean
IUNG1,2024-01-01,0.0,4.4,2.2
IUNG1,2024-01-02,2.1,6.1,4.1
IUNG1,2024-01-03,3.0,9.0,6.0
IUNG1,2024-01-04,0.1,7.5,3.8
IUNG1,2024-01-05,-2.2,-0.1,-1.15
IUNG1,2024-01-06,-4.3,-0.9,-2.6
IUNG1,2024-01-07,-9.9,-4.4,-7.15
IUNG1,2024-01-08,-14.7,-8.9,-11.8
IUNG1,2024-01-09,-15.9,-6.0,-10.95
IUNG1,2024-01-10,-13.5,-1.6,-7.55
IUNG1,2024-01-11,-9.3,-0.2,-4.75
IUNG1,2024-01-12,-10.4,-0.7,-5.55
IUNG1,2024-01-13,-1.4,-0.1,-0.75
IUNG1,2024-01-14,-0.8,1.9,0.55
IUNG1,2024-01-15,-1.4,1.7,0.15
IUNG1,2024-01-16,-7.1,-1.3,-4.2
IUNG1,2024-01-17,-7.8,1.2,-3.3
IUNG1,2024-01-18,-1.3,3.6,1.15
IUNG1,2024-01-19,-3.8,-1.3,-2.55
IUNG1,2024-01-20,-4.0,0.6,-1.7
IUNG1,2024-01-21,-4.3,1.9,-1.2
IUNG1,2024-01-22,-2.0,2.5,0.25
IUNG1,2024-01-23,0.4,5.3,2.85
IUNG1,2024-01-24,0.3,6.9,3.6
IUNG1,2024-01-25,1.6,6.7,4.15
IUNG1,2024-01-26,0.0,1.7,0.85
IUNG1,2024-01-27,0.1,3.6,1.85
IUNG1,2024-01-28,1.5,4.1,2.8
IUNG1,2024-01-29,-0.1,6.1,3.0
IUNG1,2024-01-30,-0.6,6.7,3.05
IUNG1,2024-01-31,-0.4,4.6,2.1
IUNG1,2024-02-01,0.0,4.4,2.2
IUNG1,2024-02-02,1.1,5.5,3.3
IUNG1,2024-02-03,3.3,9.5,6.4
IUNG1,2024-02-04,4.7,6.8,5.75
IUNG1,2024-02-05,4.0,8.3,6.15
IUNG1,2024-02-06,7.4,9.2,8.3
IUNG1,2024-02-07,0.8,9.6,5.2
IUNG1,2024-02-08,-1.5,1.6,0.05
IUNG1,2024-02-09,-0.3,1.6,0.65
IUNG1,2024-02-10,1.5,8.4,4.95
IUNG1,2024-02-11,3.4,12.3,7.85
