stationId,data_dnia,T_min,T_max,T_srednia
IUNG1,2025-04-01,0.0,13.1,6.55
IUNG1,2025-04-02,0.0,17.1,8.55
IUNG1,2025-04-03,0.0,18.9,9.45
IUNG1,2025-04-04,0.0,20.1,10.05
IUNG1,2025-04-05,-0.7,9.6,4.45
IUNG1,2025-04-06,-0.7,2.5,0.9
IUNG1,2025-04-07,-2.4,7.9,2.75
IUNG1,2025-04-08,-1.0,8.9,3.95
IUNG1,2025-04-09,-0.3,9.0,4.35
IUNG1,2025-04-10,-1.5,5.1,1.8
IUNG1,2025-04-11,0.0,6.8,3.4
IUNG1,2025-04-12,0.0,14.8,7.4
IUNG1,2025-04-13,0.0,21.3,10.65
IUNG1,2025-04-14,10.4,23.0,16.7
IUNG1,2025-04-15,0.0,17.9,8.95
IUNG1,2025-04-16,10.9,25.2,18.05
IUNG1,2025-04-17,11.9,27.7,19.8
IUNG1,2025-04-18,0.0,26.3,13.15
IUNG1,2025-04-19,9.4,21.0,15.2
IUNG1,2025-04-20,0.0,22.5,11.25
IUNG1,2025-04-21,0.0,25.0,12.5
IUNG1,2025-04-22,0.0,23.1,11.55
IUNG1,2025-04-23,9.0,22.2,15.6
IUNG1,2025-04-24,0.0,23.6,11.8
IUNG1,2025-04-25,0.0,14.8,7.4
IUNG1,2025-04-26,1.4,12.6,7.0
IUNG1,2025-04-27,-0.4,14.4,7.0
IUNG1,2025-04-28,0.0,19.1,9.55
IUNG1,2025-04-29,0.0,20.8,10.4
IUNG1,2025-04-30,0.0,20.7,10.35
IUNG1,2025-05-01,0.0,19.4,9.7
IUNG1,2025-05-02,4.3,23.5,13.9
IUNG1,2025-05-03,0.0,24.9,12.45
IUNG1,2025-05-04,0.0,17.6,8.8
IUNG1,2025-05-05,5.8,10.7,8.25
IUNG1,2025-05-06,0.0,13.4,6.7
IUNG1,2025-05-07,0.0,13.6,6.8
IUNG1,2025-05-08,0.0,12.0,6.0
IUNG1,2025-05-09,-0.2,11.9,5.85
IUNG1,2025-05-10,0.0,9.5,4.75
IUNG1,2025-05-11,4.0,14.1,9.05
IUNG1,2025-05-12,0.0,14.4,7.2
IUNG1,2025-05-13,0.0,16.4,8.2
IUNG1,2025-05-14,0.0,16.1,8.05
IUNG1,2025-05-15,0.0,12.0,6.0
IUNG1,2025-05-16,0.0,10.6,5.3
IUNG1,2025-05-17,0.0,12.5,6.25
IUNG1,2025-05-18,0.0,10.6,5.3
IUNG1,2025-05-19,6.4,16.2,11.3
IUNG1,2025-05-20,0.0,21.2,10.6
IUNG1,2025-05-21,0.0,23.7,11.85
IUNG1,2025-05-22,9.5,22.2,15.85
IUNG1,2025-05-23,8.6,14.6,11.6
IUNG1,2025-05-24,0.0,15.1,7.55
IUNG1,2025-05-25,0.0,19.5,9.75
IUNG1,2025-05-26,0.0,22.6,11.3
IUNG1,2025-05-27,0.0,21.8,10.9
IUNG1,2025-05-28,8.0,22.6,15.3
IUNG1,2025-05-29,0.0,15.0,7.5
IUNG1,2025-05-30,0.0,21.7,10.85
IUNG1,2025-05-31,0.0,24.9,12.45
IUNG1,2025-06-01,12.7,27.2,19.95
IUNG1,2025-06-02,0.0,27.2,13.6
IUNG1,2025-06-03,0.0,22.1,11.05
IUNG1,2025-06-04,0.0,27.3,13.65
IUNG1,2025-06-05,0.0,27.4,13.7
IUNG1,2025-06-06,15.9,27.5,21.7
IUNG1,2025-06-07,0.0,27.4,13.7
IUNG1,2025-06-08,12.0,21.8,16.9
IUNG1,2025-06-09,7.8,17.5,12.65
IUNG1,2025-06-10,6.8,21.1,13.95
IUNG1,2025-06-11,0.0,20.3,10.15
IUNG1,2025-06-12,0.0,20.2,10.1
IUNG1,2025-06-13,0.0,19.9,9.95
IUNG1,2025-06-14,0.0,22.6,11.3
IUNG1,2025-06-15,0.0,26.3,13.15
IUNG1,2025-06-16,0.0,29.1,14.55
IUNG1,2025-06-17,0.0,22.8,11.4
IUNG1,2025-06-18,0.0,26.9,13.45
IUNG1,2025-06-19,0.0,21.1,10.55
IUNG1,2025-06-20,0.0,21.6,10.8
IUNG1,2025-06-21,0.0,24.2,12.1
IUNG1,2025-06-22,0.0,26.8,13.4
IUNG1,2025-06-23,11.1,30.0,20.55
IUNG1,2025-06-24,0.0,21.4,10.7
IUNG1,2025-06-25,12.6,22.4,17.5
IUNG1,2025-06-26,0.0,25.4,12.7
IUNG1,2025-06-27,0.0,23.4,11.7
IUNG1,2025-06-28,0.0,22.9,11.45
IUNG10,2025-04-01,0.0,12.2,6.1
IUNG10,2025-04-02,0.0,16.4,8.2
IUNG10,2025-04-03,0.0,17.8,8.9
IUNG10,2025-04-04,0.0,19.0,9.5
IUNG10,2025-04-05,-0.1,7.4,3.65
IUNG10,2025-04-06,-2.5,0.6,-0.95
IUNG10,2025-04-07,-2.4,5.1,1.35
IUNG10,2025-04-08,-2.7,5.7,1.5
IUNG10,2025-04-09,-4.4,8.5,2.05
IUNG10,2025-04-10,-2.3,4.6,1.15
IUNG10,2025-04-11,-0.4,4.5,2.05
IUNG10,2025-04-12,0.0,11.4,5.7
IUNG10,2025-04-13,-1.3,19.4,9.05
IUNG10,2025-04-14,0.0,18.2,9.1
IUNG10,2025-04-15,0.0,14.8,7.4
IUNG10,2025-04-16,9.4,22.5,15.95
IUNG10,2025-04-17,0.0,25.8,12.9
IUNG10,2025-04-18,0.0,25.0,12.5
IUNG10,2025-04-19,10.3,12.7,11.5
IUNG10,2025-04-21,0.0,9.0,4.5
IUNG10,2025-04-22,8.3,25.4,16.85
IUNG10,2025-04-23,0.0,22.3,11.15
IUNG10,2025-04-24,0.0,23.8,11.9
IUNG10,2025-04-25,0.0,13.3,6.65
IUNG10,2025-04-26,0.0,12.4,6.2
IUNG10,2025-04-27,-0.7,13.4,6.35
IUNG10,2025-04-28,-1.2,17.7,8.25
IUNG10,2025-04-29,0.2,19.4,9.8
IUNG10,2025-04-30,0.0,18.9,9.45
